Entity,Code,Year,"Air pollution (total) (IHME, 2019)",Continent
Gambia,GMB,1990,10.13,Africa
Georgia,GEO,1990,10.95,Asia
Germany,DEU,1990,6.19,Europe
Ghana,GHA,1990,7.0,Africa
Greece,GRC,1990,6.71,Europe
Grenada,GRD,1990,8.87,North America
Guatemala,GTM,1990,10.25,North America
Guinea,GIN,1990,11.38,Africa
Guinea-Bissau,GNB,1990,8.14,Africa
Guyana,GUY,1990,6.23,South America
Haiti,HTI,1990,9.9,North America
Honduras,HND,1990,7.19,North America
Hungary,HUN,1990,7.69,Europe
Iceland,ISL,1990,4.05,Europe
India,IND,1990,12.15,Asia
Indonesia,IDN,1990,8.49,Asia
Iran,IRN,1990,5.54,Asia
Iraq,IRQ,1990,8.33,Asia
Ireland,IRL,1990,5.88,Europe
Israel,ISR,1990,7.23,Asia
Italy,ITA,1990,5.99,Europe
Jamaica,JAM,1990,6.63,North America
Japan,JPN,1990,4.92,Asia
Jordan,JOR,1990,6.73,Asia
Kazakhstan,KAZ,1990,7.85,Asia
Kenya,KEN,1990,9.16,Africa
Kiribati,KIR,1990,9.39,Oceania
Kuwait,KWT,1990,6.72,Asia
Kyrgyzstan,KGZ,1990,11.75,Asia
Laos,LAO,1990,14.23,Asia
Latvia,LVA,1990,7.04,Europe
Lebanon,LBN,1990,6.96,Asia
Lesotho,LSO,1990,9.09,Africa
Liberia,LBR,1990,8.3,Africa
Libya,LBY,1990,6.82,Africa
Lithuania,LTU,1990,6.61,Europe
Luxembourg,LUX,1990,5.36,Europe
Madagascar,MDG,1990,10.34,Africa
Malawi,MWI,1990,6.29,Africa
Malaysia,MYS,1990,7.22,Asia
Maldives,MDV,1990,9.43,Asia
Mali,MLI,1990,6.38,Africa
Malta,MLT,1990,7.02,Europe
Marshall Islands,MHL,1990,7.65,Oceania
Mauritania,MRT,1990,7.53,Africa
Mauritius,MUS,1990,7.67,Africa
Mexico,MEX,1990,6.67,North America
Micronesia,,1990,9.6,Oceania
Moldova,MDA,1990,9.49,Europe
Mongolia,MNG,1990,13.49,Asia
Montenegro,MNE,1990,8.43,Europe
Morocco,MAR,1990,7.16,Africa
Mozambique,MOZ,1990,8.21,Africa
Namibia,NAM,1990,8.94,Africa
Nepal,NPL,1990,12.71,Asia
Netherlands,NLD,1990,6.29,Europe
New Zealand,NZL,1990,3.57,Oceania
Nicaragua,NIC,1990,8.09,North America
Niger,NER,1990,10.14,Africa
Nigeria,NGA,1990,9.68,Africa
North Korea,PRK,1990,17.19,Asia
Norway,NOR,1990,4.31,Europe
Oman,OMN,1990,7.4,Asia
Pakistan,PAK,1990,9.39,Asia
Panama,PAN,1990,5.43,North America
Papua New Guinea,PNG,1990,13.07,Oceania
Paraguay,PRY,1990,8.42,South America
Peru,PER,1990,9.39,South America
Philippines,PHL,1990,10.54,Asia
Poland,POL,1990,8.88,Europe
Portugal,PRT,1990,5.26,Europe
Qatar,QAT,1990,9.09,Asia
Romania,ROU,1990,9.02,Europe
Russia,RUS,1990,6.63,Asia
Rwanda,RWA,1990,8.34,Africa
Saint Lucia,LCA,1990,7.8,North America
Saint Vincent and the Grenadines,VCT,1990,8.94,North America
Samoa,WSM,1990,9.2,Oceania
Sao Tome and Principe,STP,1990,11.41,Africa
Saudi Arabia,SAU,1990,5.79,Asia
Senegal,SEN,1990,8.04,Africa
Serbia,SRB,1990,9.93,Europe
Seychelles,SYC,1990,6.92,Africa
Sierra Leone,SLE,1990,10.26,Africa
Singapore,SGP,1990,7.69,Asia
Slovakia,SVK,1990,8.35,Europe
Slovenia,SVN,1990,6.21,Europe
Solomon Islands,SLB,1990,14.44,Oceania
Somalia,SOM,1990,8.49,Africa
South Africa,ZAF,1990,6.65,Africa
South Korea,KOR,1990,5.9,Asia
South Sudan,SSD,1990,9.56,Africa
Spain,ESP,1990,5.43,Europe
Sri Lanka,LKA,1990,8.58,Asia
Sudan,SDN,1990,9.3,Africa
Suriname,SUR,1990,6.62,South America
Sweden,SWE,1990,3.94,Europe
Switzerland,CHE,1990,5.53,Europe
Syria,SYR,1990,8.1,Asia
Tajikistan,TJK,1990,14.77,Asia
Tanzania,TZA,1990,9.11,Africa
Thailand,THA,1990,8.46,Asia
Togo,TGO,1990,8.39,Africa
Tonga,TON,1990,10.06,Oceania
Trinidad and Tobago,TTO,1990,8.35,North America
Tunisia,TUN,1990,7.51,Africa
Turkey,TUR,1990,9.81,Asia
Turkmenistan,TKM,1990,8.31,Asia
Uganda,UGA,1990,4.9,Africa
Ukraine,UKR,1990,9.07,Europe
United Arab Emirates,ARE,1990,6.04,Asia
United Kingdom,GBR,1990,6.36,Europe
Uruguay,URY,1990,4.5,South America
Uzbekistan,UZB,1990,11.77,Asia
Vanuatu,VUT,1990,11.39,Oceania
Venezuela,VEN,1990,5.31,South America
Vietnam,VNM,1990,10.12,Asia
Yemen,YEM,1990,9.14,Asia
Zambia,ZMB,1990,8.08,Africa
Zimbabwe,ZWE,1990,6.71,Africa
