Entity,Code,Year,"Air pollution (total) (IHME, 2019)",Continent
El Salvador,SLV,2010,6.76,North America
Equatorial Guinea,GNQ,2010,4.52,Africa
Eritrea,ERI,2010,7.55,Africa
Estonia,EST,2010,3.88,Europe
Ethiopia,ETH,2010,7.79,Africa
Fiji,FJI,2010,10.27,Oceania
Finland,FIN,2010,2.76,Europe
France,FRA,2010,3.82,Europe
Gabon,GAB,2010,5.04,Africa
Gambia,GMB,2010,8.96,Africa
Georgia,GEO,2010,9.78,Asia
Germany,DEU,2010,5.01,Europe
Ghana,GHA,2010,7.09,Africa
Greece,GRC,2010,6.42,Europe
Grenada,GRD,2010,7.6,North America
Guatemala,GTM,2010,8.91,North America
Guinea,GIN,2010,9.74,Africa
Guinea-Bissau,GNB,2010,7.58,Africa
Guyana,GUY,2010,6.73,South America
Haiti,HTI,2010,2.47,North America
Honduras,HND,2010,6.76,North America
Hungary,HUN,2010,6.86,Europe
Iceland,ISL,2010,3.35,Europe
India,IND,2010,12.22,Asia
Indonesia,IDN,2010,7.85,Asia
Iran,IRN,2010,6.93,Asia
Iraq,IRQ,2010,7.92,Asia
Ireland,IRL,2010,4.16,Europe
Israel,ISR,2010,6.01,Asia
Italy,ITA,2010,5.14,Europe
Jamaica,JAM,2010,6.02,North America
Japan,JPN,2010,4.13,Asia
Jordan,JOR,2010,6.76,Asia
Kazakhstan,KAZ,2010,6.31,Asia
Kenya,KEN,2010,6.36,Africa
Kiribati,KIR,2010,10.43,Oceania
Kuwait,KWT,2010,10.28,Asia
Kyrgyzstan,KGZ,2010,9.27,Asia
Laos,LAO,2010,12.08,Asia
Latvia,LVA,2010,6.04,Europe
Lebanon,LBN,2010,8.53,Asia
Lesotho,LSO,2010,5.92,Africa
Liberia,LBR,2010,7.31,Africa
Libya,LBY,2010,8.46,Africa
Lithuania,LTU,2010,5.59,Europe
Luxembourg,LUX,2010,4.55,Europe
Madagascar,MDG,2010,10.32,Africa
Malawi,MWI,2010,5.37,Africa
Malaysia,MYS,2010,7.41,Asia
Maldives,MDV,2010,6.35,Asia
Mali,MLI,2010,5.86,Africa
Malta,MLT,2010,5.98,Europe
Marshall Islands,MHL,2010,7.5,Oceania
Mauritania,MRT,2010,8.29,Africa
Mauritius,MUS,2010,7.56,Africa
Mexico,MEX,2010,6.93,North America
Micronesia,,2010,8.28,Oceania
Moldova,MDA,2010,7.73,Europe
Mongolia,MNG,2010,8.69,Asia
Montenegro,MNE,2010,7.9,Europe
Morocco,MAR,2010,8.35,Africa
Mozambique,MOZ,2010,5.33,Africa
Namibia,NAM,2010,5.03,Africa
Nepal,NPL,2010,13.78,Asia
Netherlands,NLD,2010,5.26,Europe
New Zealand,NZL,2010,2.75,Oceania
Nicaragua,NIC,2010,7.45,North America
Niger,NER,2010,8.01,Africa
Nigeria,NGA,2010,6.75,Africa
North Korea,PRK,2010,17.15,Asia
Norway,NOR,2010,3.46,Europe
Oman,OMN,2010,7.79,Asia
Pakistan,PAK,2010,9.19,Asia
Panama,PAN,2010,4.94,North America
Papua New Guinea,PNG,2010,11.96,Oceania
Paraguay,PRY,2010,7.41,South America
Peru,PER,2010,7.93,South America
Philippines,PHL,2010,10.43,Asia
Poland,POL,2010,7.16,Europe
Portugal,PRT,2010,4.56,Europe
Qatar,QAT,2010,8.57,Asia
Romania,ROU,2010,6.54,Europe
Russia,RUS,2010,5.96,Asia
Rwanda,RWA,2010,7.84,Africa
Saint Lucia,LCA,2010,6.52,North America
Saint Vincent and the Grenadines,VCT,2010,6.98,North America
Samoa,WSM,2010,9.51,Oceania
Sao Tome and Principe,STP,2010,10.4,Africa
Saudi Arabia,SAU,2010,9.14,Asia
Senegal,SEN,2010,8.29,Africa
Serbia,SRB,2010,9.01,Europe
Seychelles,SYC,2010,5.71,Africa
Sierra Leone,SLE,2010,8.53,Africa
Singapore,SGP,2010,7.09,Asia
Slovakia,SVK,2010,6.75,Europe
Slovenia,SVN,2010,4.97,Europe
Solomon Islands,SLB,2010,13.82,Oceania
Somalia,SOM,2010,8.23,Africa
South Africa,ZAF,2010,4.12,Africa
South Korea,KOR,2010,6.09,Asia
South Sudan,SSD,2010,9.6,Africa
Spain,ESP,2010,4.58,Europe
Sri Lanka,LKA,2010,8.56,Asia
Sudan,SDN,2010,8.66,Africa
Suriname,SUR,2010,6.42,South America
Sweden,SWE,2010,3.05,Europe
Switzerland,CHE,2010,4.24,Europe
Syria,SYR,2010,9.87,Asia
Tajikistan,TJK,2010,11.41,Asia
Tanzania,TZA,2010,6.87,Africa
Thailand,THA,2010,7.19,Asia
Togo,TGO,2010,6.7,Africa
Tonga,TON,2010,8.47,Oceania
Trinidad and Tobago,TTO,2010,7.76,North America
Tunisia,TUN,2010,8.32,Africa
Turkey,TUR,2010,9.81,Asia
Turkmenistan,TKM,2010,7.33,Asia
Uganda,UGA,2010,4.96,Africa
Ukraine,UKR,2010,7.96,Europe
United Arab Emirates,ARE,2010,5.92,Asia
United Kingdom,GBR,2010,4.64,Europe
Uruguay,URY,2010,4.06,South America
Uzbekistan,UZB,2010,10.32,Asia
Vanuatu,VUT,2010,10.54,Oceania
Venezuela,VEN,2010,5.47,South America
Vietnam,VNM,2010,9.11,Asia
Yemen,YEM,2010,8.02,Asia
Zambia,ZMB,2010,5.27,Africa
Zimbabwe,ZWE,2010,5.7,Africa
